Dist,L,λ/steps,Noise,Shots,Backend,Fidelity,TVD,TVD±1σ,JSD
EXP,3,0.2,high,4096,ibm_toronto,0.9994151862436415,0.016812669284530006,0.0168±0.0074,0.0002923615386888292
EXP,3,0.30000000000000004,high,4096,ibm_toronto,0.9983532301828814,0.021060012378233954,0.0211±0.0072,0.0008213312831483132
EXP,3,0.4,high,4096,ibm_toronto,0.9984610094977816,0.019584373083262434,0.0196±0.0070,0.000768387902842464
EXP,3,0.5,high,4096,ibm_toronto,0.9985106468339935,0.020842623327509743,0.0208±0.0068,0.0007412986191730024
EXP,3,0.6,high,4096,ibm_toronto,0.9963073027647036,0.02740104191250633,0.0274±0.0067,0.001811602880045541
EXP,3,0.7000000000000001,high,4096,ibm_toronto,0.9955395397070396,0.026955499259022804,0.0270±0.0065,0.002158078992984955
EXP,3,0.8,high,4096,ibm_toronto,0.9941582458535416,0.03005719709845535,0.0301±0.0063,0.002766603288117507
EXP,3,0.9,high,4096,ibm_toronto,0.9918834607937167,0.027780454939384316,0.0278±0.0061,0.0037245013279056816
EXP,3,1.0,high,4096,ibm_toronto,0.9904589268716713,0.027972307828921662,0.0280±0.0059,0.00425723005656904
EXP,3,0.1,low,8192,ibm_toronto,0.9996837274482049,0.01296972018669381,0.0130±0.0053,0.0001581304323656702
EXP,3,0.2,low,8192,ibm_toronto,0.9992930440339856,0.01758397168089813,0.0176±0.0052,0.00035339585089853355
EXP,3,0.30000000000000004,low,8192,ibm_toronto,0.999453453034562,0.018416758578498397,0.0184±0.0051,0.0002731790852515954
EXP,3,0.4,low,8192,ibm_toronto,0.9989438161986925,0.022780345329353816,0.0228±0.0050,0.0005278139480483367
EXP,3,0.5,low,8192,ibm_toronto,0.9981146230224124,0.022303509611875556,0.0223±0.0048,0.0009383834697264683
EXP,3,0.6,low,8192,ibm_toronto,0.9965548652730009,0.027995979156049598,0.0280±0.0047,0.0017034838356713615
EXP,3,0.7000000000000001,low,8192,ibm_toronto,0.9957506929933517,0.02833621249946535,0.0283±0.0046,0.0020754644793083213
EXP,3,0.8,low,8192,ibm_toronto,0.994544120559262,0.026874175048801734,0.0269±0.0044,0.0025989156739766746
EXP,3,0.9,low,8192,ibm_toronto,0.9932474368744229,0.02345693873724087,0.0235±0.0043,0.0030962708725813266
EXP,3,1.0,low,8192,ibm_toronto,0.9905836232295965,0.025396681151819644,0.0254±0.0042,0.004194458236696528
EXP,3,0.1,medium,8192,ibm_toronto,0.9996837274482049,0.01296972018669381,0.0130±0.0053,0.0001581304323656702
EXP,3,0.2,medium,8192,ibm_toronto,0.9992930440339856,0.01758397168089813,0.0176±0.0052,0.00035339585089853355
EXP,3,0.30000000000000004,medium,8192,ibm_toronto,0.999453453034562,0.018416758578498397,0.0184±0.0051,0.0002731790852515954
EXP,3,0.4,medium,8192,ibm_toronto,0.9989438161986925,0.022780345329353816,0.0228±0.0050,0.0005278139480483367
EXP,3,0.5,medium,8192,ibm_toronto,0.9984378296857884,0.021508758897779402,0.0215±0.0048,0.0007780112978745908
EXP,3,0.6,medium,8192,ibm_toronto,0.9965548652730009,0.027995979156049598,0.0280±0.0047,0.0017034838356713615
EXP,3,0.7000000000000001,medium,8192,ibm_toronto,0.9951650977940963,0.03419062036422419,0.0342±0.0046,0.0023725589508751905
EXP,3,0.8,medium,8192,ibm_toronto,0.994544120559262,0.026874175048801734,0.0269±0.0044,0.0025989156739766746
EXP,3,0.9,medium,8192,ibm_toronto,0.9921894374764625,0.030836204181662906,0.0308±0.0043,0.003598181773746452
EXP,3,1.0,medium,8192,ibm_toronto,0.9903636080638769,0.034086976697616525,0.0341±0.0042,0.004339452659069453
EXP,3,0.1,high,8192,ibm_toronto,0.999432132359018,0.01626266524798798,0.0163±0.0053,0.0002839103712183198
EXP,3,0.2,high,8192,ibm_toronto,0.999384808637148,0.0186901913388176,0.0187±0.0052,0.0003075236896065586
EXP,3,0.30000000000000004,high,8192,ibm_toronto,0.999453453034562,0.018416758578498397,0.0184±0.0051,0.0002731790852515954
EXP,3,0.4,high,8192,ibm_toronto,0.9986312093046664,0.02174861521828722,0.0217±0.0050,0.0006836244178563789
EXP,3,0.5,high,8192,ibm_toronto,0.9984378296857884,0.021508758897779402,0.0215±0.0048,0.0007780112978745908
EXP,3,0.6,high,8192,ibm_toronto,0.9965548652730009,0.027995979156049598,0.0280±0.0047,0.0017034838356713615
EXP,3,0.7000000000000001,high,8192,ibm_toronto,0.9957506929933517,0.02833621249946535,0.0283±0.0046,0.0020754644793083213
EXP,3,0.8,high,8192,ibm_toronto,0.994544120559262,0.026874175048801734,0.0269±0.0044,0.0025989156739766746
